إجاص,إجاص.ogg
أناناس,أناناس.ogg
برتقال,برتقال.ogg
موز,موز.ogg
كيوي,كيوي.ogg
كرز,كرز.ogg
فريز,فريز.ogg
عنب,عنب.ogg
شمام,شمام.ogg
رمان,رمان.ogg
دراق,دراق.ogg
خيار,خيار.ogg
تفاح,تفاح.ogg
بطيخ,بطيخ.ogg
برتقال,برتقال.ogg
جوز الهند,جوز الهند.ogg
أبيض,أبيض.ogg
أحمر,أحمر.ogg
أخضر,أخضر.ogg
أسود,أسود.ogg
أصفر,أصفر.ogg
رمادي,رمادي.ogg
بني,بني.ogg
برتقالي,برتقالي.ogg
أزرق,أزرق.ogg
بنفسجي,بنفسجي.ogg
واحد,واحد.ogg
اثنان,اثنان.ogg
ثلاثة,ثلاثة.ogg
أربعة,أربعة.ogg
خمسة,خمسة.ogg
ستة,ستة.ogg
سبعة,سبعة.ogg
ثمانية,ثمانية.ogg
تسعة,تسعة.ogg
عشرة,عشرة.ogg
حافلة,حافلة.ogg
دراجة,دراجة.ogg
دراجة نارية,دراجة نارية.ogg
طائرة,طائرة.ogg
قارب,قارب.ogg
سيارة,سيارة.ogg
شاحنة,شاحنة.ogg
كرسي,كرسي.ogg
أريكة,أريكة.ogg
تلفاز,تلفاز.ogg
إناء,إناء.ogg
مرحاض,مرحاض.ogg
فرن,فرن.ogg
سرير,سرير.ogg
ساعة,ساعة.ogg
كتاب,كتاب.ogg
مايكروويف,مايكروويف.ogg
فرن,فرن.ogg
طاولة طعام,طاولة طعام.ogg
هاتف,هاتف.ogg